Wavelength (nm),Intensity
335.6318664550781,179.5
336.2294616699219,183.5
336.8269958496094,174.25
337.424560546875,180.0
338.0220642089844,171.0
338.6195373535156,179.75
339.21697998046875,184.75
339.8144226074219,184.5
340.41180419921875,174.5
341.0091857910156,183.5
341.6065368652344,178.75
342.203857421875,180.25
342.8011474609375,175.75
343.3984069824219,183.75
343.99566650390625,169.25
344.5928649902344,171.25
345.1900634765625,167.0
345.78717041015625,182.75
346.3843078613281,179.25
346.9814453125,181.5
347.5785217285156,173.5
348.1755676269531,171.5
348.7725830078125,177.75
349.36956787109375,173.0
349.966552734375,172.75
350.5634765625,179.25
351.160400390625,185.25
351.75726318359375,183.25
352.3541259765625,180.0
352.950927734375,180.25
353.5477600097656,170.5
354.1445617675781,172.5
354.7413024902344,168.5
355.3380126953125,180.0
355.9346923828125,162.5
356.5313720703125,170.75
357.1280212402344,175.75
357.7246398925781,179.25
358.3211975097656,173.0
358.9177551269531,173.25
359.5142822265625,172.75
360.1108093261719,173.25
360.707275390625,184.5
361.3037109375,170.0
361.9001159667969,166.5
362.4964904785156,182.25
363.0928955078125,169.5
363.6892395019531,177.25
364.2855224609375,171.5
364.88177490234375,183.25
365.4780578613281,178.5
366.0743103027344,169.75
366.6705017089844,167.0
367.26666259765625,182.25
367.86279296875,168.0
368.4588928222656,189.25
369.05499267578125,178.75
369.65106201171875,164.5
370.2470703125,163.0
370.84307861328125,178.0
371.4390563964844,171.0
372.0350036621094,176.25
372.6309509277344,175.25
373.226806640625,176.5
373.8226623535156,161.0
374.41851806640625,174.0
375.0142822265625,157.0
375.610107421875,162.0
376.20587158203125,163.25
376.80157470703125,176.0
377.39727783203125,159.0
377.992919921875,168.0
378.5885314941406,165.0
379.1842041015625,175.5
379.7797546386719,168.5
380.37530517578125,171.0
380.9708251953125,162.0
381.56634521484375,166.5
382.1618347167969,170.25
382.75726318359375,170.25
383.3526611328125,172.5
383.94805908203125,161.0
384.5433654785156,171.25
385.1387023925781,171.5
385.7340393066406,159.5
386.32928466796875,175.25
386.9245300292969,158.5
387.5197448730469,170.5
388.1149597167969,173.25
388.7100830078125,158.75
389.30523681640625,162.5
